cited_by_count,h_index,i10_index,id,display_name,works_count,2yr_mean_citedness,lineage_root,author_count,authorship_count,openalex_paper_count,total_author_count,local_authorship_ratio,total_authorship_ratio
20456508,1139,240290,I185261750,University of Toronto,498993,4.0687025972197075,True,164099,1128772,496976,3060162,6.87,6.15
12581868,941,153613,I141945490,University of British Columbia,311861,4.291833610215316,True,107587,680695,309750,1838389,6.32,5.93
10395303,876,129388,I5023651,McGill University,259828,4.0480624686821445,True,89173,557678,257518,1539029,6.25,5.97
7784810,723,114218,I154425047,University of Alberta,236695,3.853768128837085,True,77287,517890,235165,1270285,6.7,5.4
5572041,651,78662,I168635309,University of Calgary,174734,4.099668325041459,True,56771,388923,174024,1004549,6.85,5.77
5510207,649,70785,I70931966,Université de Montréal,162499,3.618725548703667,True,61643,346391,160608,1007418,5.61,6.27
6567110,767,77365,I98251732,McMaster University,161845,4.152578840597529,True,56550,368173,161609,960941,6.51,5.94
5151017,628,71030,I125749732,Western University,150281,3.9355293785709247,True,52738,320163,149974,764203,6.07,5.09
4899582,625,63409,I153718931,University of Ottawa,147769,3.6389434344714005,True,50327,310845,147194,803718,6.17,5.46
4288813,570,64385,I151746483,University of Waterloo,139470,4.182602001539646,True,39742,269924,139049,573038,6.79,4.12
3469299,532,50505,I43406934,Université Laval,122273,3.2793064780470975,True,45606,269714,119763,638589,5.91,5.33
3791141,564,48834,I204722609,Queen's University,107987,3.7894262541303694,True,39907,215279,107618,537477,5.39,4.99
3040311,476,48310,I46247651,University of Manitoba,102433,3.85583901473499,True,36378,224706,102049,554458,6.17,5.43
3205059,525,44746,I129902397,Dalhousie University,95017,3.6946731992077555,True,32835,190706,94871,525908,5.8,5.54
2347243,417,40486,I32625721,University of Saskatchewan,85000,3.6344719277581468,True,29977,178545,84734,408275,5.95,4.81
2536402,486,35507,I18014758,Simon Fraser University,76945,3.595655926352129,True,22494,136515,75548,374347,6.06,4.95
